Position,CompanyName,location,salary,category,description,jobType
UI/UX Designer Senior,DesignCorp,Paris,50000,UX/UI,Conception d'interfaces utilisateur innovantes,CDI
Product Designer,TechStart,Lyon,45000,UX/UI,Design de produits digitaux end-to-end,CDI
UX Researcher,UserFirst,Toulouse,42000,UX/UI,Recherche utilisateur qualitative,CDD
Design System Specialist,SystemDesign,Bordeaux,55000,UX/UI,Création de design systems,CDI
Data Scientist,DataMind,Paris,65000,Data,Machine learning Python R SQL,CDI
Data Analyst,Analytics Pro,Nantes,40000,Data,Power BI SQL reporting,CDI
Data Engineer,BigData Solutions,Lille,58000,Data,Pipelines de données ETL AWS,CDI
Business Intelligence Analyst,BI Corp,Marseille,38000,Data,Solutions BI Tableau,CDD
Cybersecurity Engineer,SecureNet,Paris,70000,Security,Protection systèmes audit sécurité,CDI
Security Analyst,CyberGuard,Strasbourg,45000,Security,Surveillance menaces logs,CDI
Penetration Tester,EthicalHack,Nice,55000,Security,Tests de pénétration,CDI
Security Consultant,SecConsult,Montpellier,60000,Security,Conseil sécurité RGPD,Freelance